Date,Close,High,Low,Open,Volume,RSI,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,MACD,MACD_signal,target
2021-09-01,6614.128292304441,5655.146149681073,5599.451528509972,5612.304133395611,67362500,55.72043181974988,5770.62664145918,5978.941093746657,5720.913491316133,5795.855565098343,5682.221346218662,116.69311248787108,86.66558068817261,False
2021-09-02,6595.220133383846,5633.725251830681,5530.904410732631,5590.883234706494,53257000,53.5718458204078,5939.326971628232,6045.262062389969,5825.30351619227,5868.6255044431155,5738.938321114824,163.45663758714727,102.02379206796755,False
2021-09-03,6516.130407037238,5655.14599609375,5582.314570386482,5620.872383996212,35764500,47.76382569359436,6070.505603979355,5970.894795183111,6034.786858395639,5968.4584279576675,5763.458675055229,191.92282138842256,120.00359793205857,False
2021-09-06,4246.671791514393,5659.430307227305,5612.30408968037,5655.14610563213,36780000,41.78470336852795,6159.630564590932,5982.543091850885,6091.116314724616,6023.581459694692,5808.028139409885,30.998798668071686,102.2026380792612,True
2021-09-07,5312.651330122639,5659.429838369245,5629.4404296875,5650.861435888746,53902000,49.03178590225716,5777.038809975626,5990.906640750582,5923.958368051178,5838.225852800803,5774.724285219811,-10.399133986450579,79.68228366611886,True
2021-09-08,5411.143123518673,5650.860509647346,5500.913490816673,5612.302704805173,77888000,53.693166808007106,5684.1613140050285,5856.960390872511,5917.950742309584,5766.262457834925,5783.087783015796,-34.858007858128985,56.774225361269295,True
2021-09-09,5517.662057632172,5629.4404296875,5492.345989999524,5492.345989999524,110074000,48.01912098917542,5629.557675907758,5616.363357115358,5830.812709752664,5755.656796499967,5754.071654066376,-45.12646406354543,36.39408747630635,False
2021-09-10,5267.697988016353,5625.157428764858,5565.178598602857,5565.178598602857,41483500,47.09567692226395,5607.178552252641,5400.851741965023,5685.873268574067,5823.475152918767,5724.719380015397,-72.5974428369882,14.595781413647446,True
2021-09-13,5754.117003759833,5620.872091914569,5590.882682887585,5620.872091914569,29929000,51.711704056657126,5539.282439405383,5151.165258160846,5566.854175005866,5777.799295870026,5717.115723182701,-54.490311641920016,0.778562802533953,False
2021-09-14,4673.373239812367,5650.86203648718,5565.1780025753205,5646.577834791588,51990500,42.88715750043157,5582.249352276273,5452.654300609934,5721.780470680258,5766.8570122374285,5712.017015500745,-125.89601838071758,-24.556353434116353,True
2021-09-15,5405.817563166765,5612.303458339347,5556.608843867278,5608.019257226111,44514000,43.128044159404766,5400.474129783493,5324.79868254788,5590.879536710195,5720.233389055682,5670.704026579108,-121.97734096112526,-44.04055093951814,True
2021-09-16,5491.949688114245,5638.009137620193,5552.325108173077,5638.009137620193,58672500,45.583857539661516,5401.542816460147,5323.733570477498,5470.048463796427,5661.786329994275,5630.20035210669,-110.64615818972288,-57.36167238955909,False
2021-09-17,4046.954686350522,5599.452215838286,5552.325992139571,5560.894396448428,117540000,49.22051331107,5419.624190790967,5318.591096573912,5359.721419269468,5563.445877907348,5678.709654153265,-215.7777825614903,-89.04489442394534,True
2021-09-20,4554.349136780794,5646.578147245159,5578.030916322608,5629.441339514521,73157500,41.93956050333405,5145.090289902879,5074.442436240746,5112.803847200796,5402.716928750826,5613.240920675597,-255.21094768953117,-122.2781050770625,True
2021-09-21,5616.144865585479,5599.4508765739365,5543.756261887279,5578.029870925222,57115500,44.62775944052603,5026.942059278462,4834.488862844939,5143.571581727436,5426.016601401819,5565.384324331684,-198.49583718503527,-137.52165149865706,False
2021-09-22,5244.534411233137,5638.008897072845,5569.461676439741,5569.461676439741,68722000,42.99512258709632,5144.782620539865,5023.043187999561,5173.920935273721,5401.600753806651,5598.728159452497,-181.4429995337223,-146.3059211056701,True
